Top Skills,Count
R,110
Data Analysis,100
Python,70
Statistics,50
Computer Science,50
Machine Learning,40
SQL,40
Information Technology,40
Excel,30
Information Management,30
IT,20
Data Engineering,10
Data Visualization,10
Tableau,10
Power BI,10
GIT,10
Cloud Computing,10
Java,10
SAS,10
MATLAB,10
